reference,source,nRF
indv_50_sites_90_loci_90,run3_Jetz_BigBird_Genusbackbone,0.155329211
indv_50_sites_90_loci_90,run4_optimal_NoBackbone,0.167369386
indv_50_sites_90_loci_90,run5_bootstrap_NoBackbone,0.166237587
indv_50_sites_90_loci_90,run6_optimal_FamilyBackbone,0.146314631
indv_50_sites_90_loci_90,run7_optimal_GenusBackbone,0.13653811
indv_50_sites_90_loci_90,run8_FamBackbone2v1,0.146001467
indv_50_sites_90_loci_90,run9_GenusBackbone2v1,0.135263062
run1_Jetz_BigBird,run2_Jetz_BigBird_Familybackbone,0.083910981
run1_Jetz_BigBird,run3_Jetz_BigBird_Genusbackbone,0.080992339
run1_Jetz_BigBird,run4_optimal_NoBackbone,0.19078341
run1_Jetz_BigBird,run5_bootstrap_NoBackbone,0.183801775
run1_Jetz_BigBird,run6_optimal_FamilyBackbone,0.170353982
run1_Jetz_BigBird,run7_optimal_GenusBackbone,0.157875391
run1_Jetz_BigBird,run8_FamBackbone2v1,0.170047953
run1_Jetz_BigBird,run9_GenusBackbone2v1,0.154676917
run2_Jetz_BigBird_Familybackbone,run3_Jetz_BigBird_Genusbackbone,0.008730447
run2_Jetz_BigBird_Familybackbone,run4_optimal_NoBackbone,0.122955339
run2_Jetz_BigBird_Familybackbone,run5_bootstrap_NoBackbone,0.118362832
run2_Jetz_BigBird_Familybackbone,run6_optimal_FamilyBackbone,0.100367647
run2_Jetz_BigBird_Familybackbone,run7_optimal_GenusBackbone,0.087044163
run2_Jetz_BigBird_Familybackbone,run8_FamBackbone2v1,0.100036778
run2_Jetz_BigBird_Familybackbone,run9_GenusBackbone2v1,0.084504472
run3_Jetz_BigBird_Genusbackbone,run4_optimal_NoBackbone,0.121117442
run3_Jetz_BigBird_Genusbackbone,run5_bootstrap_NoBackbone,0.116519174
run3_Jetz_BigBird_Genusbackbone,run6_optimal_FamilyBackbone,0.098529412
run3_Jetz_BigBird_Genusbackbone,run7_optimal_GenusBackbone,0.085211655
run3_Jetz_BigBird_Genusbackbone,run8_FamBackbone2v1,0.098197867
run3_Jetz_BigBird_Genusbackbone,run9_GenusBackbone2v1,0.082679321
run4_optimal_NoBackbone,run5_bootstrap_NoBackbone,0.034380227
run4_optimal_NoBackbone,run6_optimal_FamilyBackbone,0.053548268
run4_optimal_NoBackbone,run7_optimal_GenusBackbone,0.04913188
run4_optimal_NoBackbone,run8_FamBackbone2v1,0.053197405
run4_optimal_NoBackbone,run9_GenusBackbone2v1,0.050404709
run5_bootstrap_NoBackbone,run6_optimal_FamilyBackbone,0.051301115
run5_bootstrap_NoBackbone,run7_optimal_GenusBackbone,0.052065963
run5_bootstrap_NoBackbone,run8_FamBackbone2v1,0.050948308
run5_bootstrap_NoBackbone,run9_GenusBackbone2v1,0.05074737
run6_optimal_FamilyBackbone,run7_optimal_GenusBackbone,0.028634768
run6_optimal_FamilyBackbone,run8_FamBackbone2v1,0.000370782
run6_optimal_FamilyBackbone,run9_GenusBackbone2v1,0.024471021
run7_optimal_GenusBackbone,run8_FamBackbone2v1,0.028275735
run7_optimal_GenusBackbone,run9_GenusBackbone2v1,0.007703595
run8_FamBackbone2v1,run9_GenusBackbone2v1,0.024111909
