# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D8_MP_supertree_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.12749954136855624	695.0	5451.0	0.8823747680890538	0.862844702467344	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.1295923962712484	709.0	5471.0	0.8769797421731124	0.863933236574746	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.14846447392331455	817.0	5503.0	0.8529304696032035	0.8501451378809869	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.14778503994190267	814.0	5508.0	0.8528343023255814	0.8515965166908563	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.1437908496732026	792.0	5508.0	0.8568313953488372	0.8555878084179971	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.14244186046511628	784.0	5504.0	0.858806404657933	0.8563134978229318	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.15008186283427324	825.0	5497.0	0.8522437066763955	0.8476052249637155	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.12409288824383163	684.0	5512.0	0.8759071117561683	0.8759071117561683	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/11_F90_i50s90l90_parsC_rooted.tre	2758	0.12663280116110304	698.0	5512.0	0.8733671988388969	0.8733671988388969	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/17_F50_i25s90l50_parsC_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.09252539912917271	510.0	5512.0	0.9074746008708273	0.9074746008708273	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C12_MP_supertree_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.07960741548527808	438.0	5502.0	0.922068463219228	0.918722786647315	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
