clade,tree,presence
Otidimorphae,indv_50_sites_50_loci_70,TRUE
Musophagotides,indv_50_sites_50_loci_70,TRUE
Mirandornithes,indv_50_sites_50_loci_70,TRUE
Strisores,indv_50_sites_50_loci_70,TRUE
Vanescaves,indv_50_sites_50_loci_70,TRUE
Letornithes,indv_50_sites_50_loci_70,TRUE
Daedalornithes,indv_50_sites_50_loci_70,TRUE
Sedentaves,indv_50_sites_50_loci_70,FALSE
Phaethoquornithes,indv_50_sites_50_loci_70,FALSE
Phaethontimorphae,indv_50_sites_50_loci_70,TRUE
Aequornithes,indv_50_sites_50_loci_70,TRUE
Feraequornithes,indv_50_sites_50_loci_70,TRUE
Procellariimorphae,indv_50_sites_50_loci_70,TRUE
Pelecanimorphae,indv_50_sites_50_loci_70,TRUE
Pelecanes,indv_50_sites_50_loci_70,TRUE
Telluraves,indv_50_sites_50_loci_70,TRUE
Afroaves,indv_50_sites_50_loci_70,TRUE
Coraciimorphae,indv_50_sites_50_loci_70,TRUE
Cavitaves,indv_50_sites_50_loci_70,TRUE
Eucavitaves,indv_50_sites_50_loci_70,TRUE
Picocoraciades,indv_50_sites_50_loci_70,TRUE
Picodynastornithes,indv_50_sites_50_loci_70,TRUE
Australaves,indv_50_sites_50_loci_70,TRUE
Eufalconimorphae,indv_50_sites_50_loci_70,TRUE
Psittacopasseres,indv_50_sites_50_loci_70,TRUE
Palaeognathae,indv_50_sites_90_loci_90,TRUE
Notopalaeognathae,indv_50_sites_90_loci_90,TRUE
Novaeratitae,indv_50_sites_90_loci_90,TRUE
Dinocrypturi,indv_50_sites_90_loci_90,TRUE
Galloanserae,indv_50_sites_90_loci_90,TRUE
Neoaves,indv_50_sites_90_loci_90,TRUE
Columbimorphae,indv_50_sites_90_loci_90,FALSE
Pteroclimesites,indv_50_sites_90_loci_90,TRUE
Otidimorphae,indv_50_sites_90_loci_90,FALSE
Musophagotides,indv_50_sites_90_loci_90,TRUE
Mirandornithes,indv_50_sites_90_loci_90,TRUE
Strisores,indv_50_sites_90_loci_90,TRUE
Vanescaves,indv_50_sites_90_loci_90,TRUE
Letornithes,indv_50_sites_90_loci_90,FALSE
Daedalornithes,indv_50_sites_90_loci_90,TRUE
Sedentaves,indv_50_sites_90_loci_90,FALSE
Phaethoquornithes,indv_50_sites_90_loci_90,FALSE
Phaethontimorphae,indv_50_sites_90_loci_90,TRUE
Aequornithes,indv_50_sites_90_loci_90,TRUE
Feraequornithes,indv_50_sites_90_loci_90,TRUE
Procellariimorphae,indv_50_sites_90_loci_90,TRUE
